"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"230","Xin Zhao","Fighter","JUNGLE","B",46.56,"-2.91","50.05%","86.59%","2.92%","0.17%",2.36,"13_24"
"231","Xin Zhao","Fighter","TOP","D",35.15,"999NEW","47.86%","11.89%","0.35%","0.18%",1.53,"13_24"
"232","Yasuo","Fighter","MID","God",61.89,"+10.53","48.67%","71.79%","9.14%","13.99%",1.79,"13_24"
"233","Yasuo","Fighter","TOP","C",41.16,"-0.44","48.87%","14.58%","1.80%","14.05%",1.47,"13_24"
"234","Yasuo","Fighter","ADC","C",40.46,"+1.92","51.68%","11.47%","1.38%","14.05%",2.13,"13_24"
"235","Yone","Assassin","MID","God",83.76,"+12.11","49.18%","53.56%","11.93%","33.42%",1.75,"13_24"
"236","Yone","Assassin","TOP","God",73.37,"-12.13","47.29%","45.36%","10.38%","33.42%",1.44,"13_24"
"237","Yorick","Fighter","TOP","D",39.97,"-5.28","49.16%","91.32%","1.34%","0.96%",1.52,"13_24"
"238","Yuumi","Support","SUPPORT","A",51.7,"+0.16","45.59%","99.08%","5.29%","2.15%",4.17,"13_24"
"239","Zac","Tank","TOP","A",51.05,"-1.82","51.59%","23.09%","1.44%","1.27%",2.74,"13_24"
"240","Zac","Tank","JUNGLE","A",50.39,"-2.69","49.26%","56.95%","3.41%","1.34%",3.56,"13_24"
"241","Zac","Tank","SUPPORT","A",50.32,"+5.61","52.27%","16.14%","0.99%","1.15%",2.69,"13_24"
"242","Zed","Assassin","MID","S",57.48,"+4.59","50.30%","88.79%","5.79%","16.98%",2.36,"13_24"
"243","Zeri","Marksman","ADC","D",37.07,"+5.44","47.45%","97.28%","3.45%","0.27%",2.39,"13_24"
"244","Ziggs","Mage","ADC","B",45.83,"-2.50","52.45%","82.20%","3.26%","6.36%",2.4,"13_24"
"245","Ziggs","Mage","MID","D",38.18,"-2.37","49.96%","11.90%","0.49%","6.32%",2.37,"13_24"
"246","Zilean","Support","SUPPORT","A",50.9,"+1.61","51.27%","84.31%","1.83%","0.24%",2.94,"13_24"
"247","Zilean","Support","MID","A",49.01,"999NEW","53.22%","10.67%","0.23%","0.24%",3.45,"13_24"
"248","Zoe","Mage","MID","A",51.6,"-0.73","51.77%","90.13%","3.12%","1.54%",2.84,"13_24"
"249","Zoe","Mage","SUPPORT","B",45.59,"999NEW","51.00%","10.71%","0.32%","1.37%",2.2,"13_24"
"250","Zyra","Mage","SUPPORT","A",51.96,"-3.06","52.19%","88.86%","3.59%","2.32%",2.04,"13_24"
