Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
Heimerdinger,Mage,SUPPORT,C,40.74,-3.15,0.5072,0.5213,0.0148,0.0220,1.96,13_7
Heimerdinger,Mage,TOP,C,40.37,1.56,0.5091,0.1699,0.0051,0.0224,1.68,13_7
Illaoi,Fighter,TOP,S,59.12,-0.18,0.5073,0.9400,0.0545,0.1181,1.47,13_7
Irelia,Fighter,TOP,A,52.56,-0.84,0.4943,0.4827,0.0425,0.1348,1.59,13_7
Irelia,Fighter,MID,A,51.44,-0.3,0.4996,0.4993,0.0431,0.1348,1.79,13_7
Ivern,Support,JUNGLE,C,37.52,-1.99,0.4844,0.7989,0.0101,0.0035,3.31,13_7
Ivern,Support,SUPPORT,D,24.34,-6.03,0.4329,0.1127,0.0013,0.0033,2.46,13_7
Janna,Support,SUPPORT,A,47.92,-2.51,0.5045,0.9797,0.0257,0.0046,3.13,13_7
Jarvan IV,Tank,JUNGLE,God,90.36,8.82,0.5289,0.9319,0.1068,0.1737,3.34,13_7
Jax,Fighter,TOP,God,73.14,-2.4,0.5114,0.8427,0.0817,0.1547,1.71,13_7
Jax,Fighter,JUNGLE,C,37.71,0.8,0.5077,0.1260,0.0118,0.1547,2.22,13_7
Jayce,Fighter,TOP,S,60.5,-0.96,0.4924,0.7586,0.0657,0.0415,1.82,13_7
Jayce,Fighter,MID,B,46.64,2.15,0.5205,0.2228,0.0186,0.0415,2.21,13_7
Jhin,Marksman,ADC,S,62.99,-2.9,0.5067,0.9588,0.1200,0.0280,2.91,13_7
Jinx,Marksman,ADC,God,94.32,0.69,0.5205,0.9884,0.2311,0.0878,2.39,13_7
K'Sante,Fighter,TOP,A,54.19,3.67,0.4736,0.8830,0.0562,0.0444,1.95,13_7
Kai'Sa,Marksman,ADC,God,67.14,-5.36,0.5007,0.9358,0.1536,0.0267,2.48,13_7
Kalista,Marksman,ADC,D,29.1,3.68,0.4841,0.8893,0.0232,0.0057,2.22,13_7
Karma,Mage,SUPPORT,A,51.62,-0.14,0.4825,0.8847,0.0598,0.0147,2.65,13_7
Karthus,Mage,ADC,C,39.5,3.91,0.5435,0.2734,0.0108,0.0287,2.32,13_7
Karthus,Mage,JUNGLE,C,39.35,-1.85,0.4967,0.5672,0.0198,0.0287,2.49,13_7
Karthus,Mage,MID,C,38.04,0.79,0.5035,0.1010,0.0032,0.0240,2.27,13_7
Kassadin,Assassin,MID,B,44.06,-2.08,0.4910,0.9616,0.0215,0.0676,2.5,13_7
Katarina,Assassin,MID,God,81.76,9,0.4900,0.9521,0.1119,0.1609,2.25,13_7
Kayle,Fighter,TOP,A,48.3,-0.74,0.5058,0.8199,0.0270,0.0074,1.84,13_7
Kayle,Fighter,MID,B,44.32,5.23,0.5365,0.1403,0.0040,0.0074,2.27,13_7
Kayn,Fighter,JUNGLE,God,77.47,9.57,0.5131,0.9649,0.1041,0.1153,2.45,13_7
